skeleton_id, treenode_id, parent_treenode_id, x, y, z, r
37744, 263685, 263685, 111780.79, 41446.855, 51732, 1144
37758, 263687, 263687, 110549.16, 56340.06, 50772, 1264
37773, 263688, 263688, 113424.4, 52940.707, 48672, 1294
37791, 263689, 263689, 114190.164, 47794.46, 47268, 1204
37800, 263690, 263690, 111094.77, 33861.324, 51708, 1638
37815, 263718, 263718, 96482.61, 24570.18, 45468, 1273
37819, 263719, 263719, 95676.22, 24949.25, 45948, 1440
37837, 263720, 263720, 95335.13, 27393.984, 44268, 1277
37851, 263721, 263721, 90565.875, 31238.54, 41628, 1390
37875, 263722, 263722, 87131.18, 32683.447, 42024, 1398
37895, 263764, 263764, 107930.586, 44558.58, 59832, 1313
37921, 263792, 263792, 99721.766, 31320, 56252.953, 1410
37938, 263793, 263793, 99648.97, 46056.285, 25020, 1443
37966, 263794, 263794, 103204.37, 49199.316, 30132, 1212
37977, 263795, 263795, 103346.875, 50925.234, 30132, 1389
37999, 263796, 263796, 100817.375, 45182.523, 30504, 1374
38018, 263797, 263797, 98940, 43231.973, 58999.46, 1509
38049, 263798, 263798, 97152, 39301.957, 55871.707, 1552
38060, 263799, 263799, 99252, 39274.773, 56614.33, 1733
38083, 263800, 263800, 96972, 42305.55, 56312.09, 1445
38097, 263801, 263801, 89964.23, 27706.445, 30144, 1245
38109, 263802, 263802, 94786.58, 30215.547, 54062.676, 1557
38125, 263826, 263826, 86231.7, 66258.77, 30072, 1632
38149, 263827, 263827, 91897.78, 54803.92, 25584, 1328
38162, 263828, 263828, 88629.05, 56090.066, 25320, 1433
38175, 263829, 263829, 93300.57, 72343.586, 45756, 1484
38186, 263830, 263830, 93851.74, 74023, 43596, 1415
38197, 263831, 263831, 111491.98, 41332.73, 51048, 1371
38216, 263832, 263832, 109765.09, 38406.91, 54540, 1297
38227, 263833, 263833, 98604, 49689.016, 57295.605, 1279
38252, 263839, 263839, 95592, 50140.28, 57042.84, 1325
38270, 263840, 263840, 103452, 54340.1, 58980.895, 1267
38293, 263841, 263841, 98294.086, 28377.584, 54900, 1351
38312, 263842, 263842, 93941.13, 28852.76, 53568, 1250
38325, 263843, 263843, 110512.83, 56816.562, 50052, 1334
38342, 263844, 263844, 96728.21, 75163.76, 28932, 1434
38357, 263845, 263845, 101141.195, 44915.543, 29016, 1280
38375, 263846, 263846, 95848.375, 25262.852, 45312, 1215
38404, 263850, 263850, 96606.766, 68484.52, 29460, 1621
38422, 263851, 263851, 103944.87, 28238.83, 48408, 1377
38432, 263852, 263852, 104525.9, 52847.773, 37044, 1369
38449, 263853, 263853, 89224.34, 77881.37, 25380, 1364
38461, 263854, 263854, 90131.445, 81948.85, 24648, 1370
38471, 263855, 263855, 89299.44, 77892.57, 25092, 1413
38484, 263856, 263856, 104643.61, 62069.785, 38484, 1282
38500, 263857, 263857, 86655.016, 78818.69, 18360, 1313
38512, 263858, 263858, 88635.33, 51348.27, 24012, 1398
38526, 263859, 263859, 91100.516, 55580.8, 26736, 1271
38539, 263860, 263860, 88433.5, 43081.67, 54144, 1163
38550, 263861, 263861, 89966.375, 82082.8, 25092, 1384
38576, 263863, 263863, 98086.08, 78430.53, 31452, 1365
38602, 263883, 263883, 86220.6, 37902.832, 47304, 1261
38618, 263885, 263885, 94350.12, 73321.89, 38484, 1296
38625, 263886, 263886, 95734.51, 26670.5, 44352, 1294
38638, 263887, 263887, 113186.414, 44145.117, 41796, 1259
38649, 263889, 263889, 88168.74, 78827.52, 22512, 1182
38658, 263892, 263892, 94558.09, 57521.465, 56280, 1278
38954, 263932, 263932, 87171.78, 44939.848, 20196, 1234
38966, 263933, 263933, 113739.77, 41448, 43537.375, 1180
39426, 265594, 265594, 84394.625, 43360.227, 52332, 1384
