24827244	BAla12	28131.4	60461.8	44250	Go to Delete
24827245	BAla34	30266.6	62026	45300	Go to Delete
24827246	BAlc_ant	24133.8	60233.8	41450	Go to Delete
24827247	BAlc_post	24595.5	59131.8	42350	Go to Delete
24827248	BAlp4	27120.1	58127.9	50150	Go to Delete
24827249	BAlp_ant	27190.9	54165.2	52400	Go to Delete
24827250	BAmas12_dor--v	30372.6	66249.1	30450	Go to Delete
24827251	BAmas12_dor--d	35096.8	61902	35700	Go to Delete
24827252	BAmas12_ven	32984	66591.2	35550	Go to Delete
24827253	BAmd1--v	33614.8	42658.8	32350	Go to Delete
24827254	BAmd1--d	30643.2	34397.6	25700	Go to Delete
24827255	BAmd2_d	33736.4	38273.6	27800	Go to Delete
24827256	BAmd2_v	35220.3	42202.8	30950	Go to Delete
24827257	BAmv12_dor	34726.3	52070	40450	Go to Delete
24827258	BAmv12_ven	34881.2	52510.9	40550	Go to Delete
24827259	BAmv3	29385.4	53268.4	34900	Go to Delete
24827260	BLAd-OL	16594.6	36407.8	67050	Go to Delete
24827261	BLAd-vl	14365	31826.9	52850	Go to Delete
24827262	BLAd-vm	14202.5	33077.1	50950	Go to Delete
24827263	BLAl	14677.5	32490	45700	Go to Delete
24827264	BLAv12_ant--v	15791.8	36649.1	56600	Go to Delete
24827265	BLAv12_ant--d	14128.4	35355.2	54800	Go to Delete
24827266	BLAv12at	13683.8	36946.64	53500	Go to Delete
24827267	BLAv12_post	14712.1	37518.5	57000	Go to Delete
24827268	BLAvm ant	13763.6	42069.8	55250	Go to Delete
24827269	BLAvm post	13970.7	42537.2	55350	Go to Delete
24827270	BLDc	15542	27899.6	55850	Go to Delete
24827271	BLP12--d	24349.7	30483.5	63300	Go to Delete
24827272	BLP12--v	22083	34859.6	65300	Go to Delete
24827273	BLP34	20622.6	34846	69550	Go to Delete
24827274	BLVa12	22730	36149.2	65950	Go to Delete
24827275	BLVa34	20732.8	38792.3	64300	Go to Delete
24827276	BLVa_t	19102.6	41133.1	62150	Go to Delete
24827277	BLVp1	27820.3	35158.6	63000	Go to Delete
24827278	CM13at	38076	28173.2	58500	Go to Delete
24827279	CM13_med	39752.4	29554.8	58300	Go to Delete
24827280	CM4-dm	40827.2	23952.16	50050	Go to Delete
24827281	CM4-vm	41529.2	24847.2	49650	Go to Delete
24827282	CPa	27443.6	29149.8	62550	Go to Delete
24827283	CPbl--v	25682.3	29508.9	63050	Go to Delete
24827284	CPbl--d	26829.9	24926.1	62050	Go to Delete
24827285	CPb--v	26961	29951.7	62650	Go to Delete
24827286	CPb--d	27147.2	24867.2	61750	Go to Delete
24827287	CPc	28180.8	24715.2	61100	Go to Delete
24827288	CPd	29343.6	23765.2	60850	Go to Delete
24827289	CPe--d	30134	23917.2	60950	Go to Delete
24827290	CPe--v	31319.6	28515.2	59500	Go to Delete
24827291	CPf	31357.6	27755.2	59600	Go to Delete
24827292	DALcl12-d	25104.7	32322.8	34950	Go to Delete
24827293	DALcl12-v	25938.8	37673.2	35900	Go to Delete
24827294	DALcm12-m	28652	33607.2	26450	Go to Delete
24827295	DALcm12-v	26037.6	31813.6	30750	Go to Delete
24827296	DALd	25581.6	31281.6	33100	Go to Delete
24827297	DALv1	22743	38737.2	41350	Go to Delete
24827298	DALv23	23252.2	48708.4	40100	Go to Delete
24827299	DAMd1	37695.2	26009.9	22050	Go to Delete
24827300	DAMd23	34021.4	29902.2	23100	Go to Delete
24827301	DAMv12at	39580.8	30954.8	23150	Go to Delete
24827302	DAMv12_med	40090	31163.8	23000	Go to Delete
24827303	DPlal1-3_ant	14926.5	31301.2	45400	Go to Delete
24827304	DPlal1-3at	15146.8	30438	46450	Go to Delete
24827305	DPLam	19957.6	26782.4	38800	Go to Delete
24827306	DPLc5	34317.8	18956.9	42850	Go to Delete
24827307	DPLc_antat	24489.1	19053.2	41600	Go to Delete
24827308	DPLc_postat	21033	18821.4	46150	Go to Delete
24827309	DPLd	23829.8	24133.8	35300	Go to Delete
24827310	DPLl--d	18734	19551	55500	Go to Delete
24827311	DPLl--v	17753.6	20280.6	54700	Go to Delete
24827312	DPLm1	24914.7	16179.1	50400	Go to Delete
24827313	DPLm2	23926.7	16324.8	48800	Go to Delete
24827314	DPLp	18620.9	22156.8	59050	Go to Delete
24827315	DPMl12	36749.8	20932.3	47500	Go to Delete
24827316	DPMl_ant_dor	39322.4	18620	35900	Go to Delete
24827317	DPMm1	44782.1	22774.3	30000	Go to Delete
24827318	DPMm2	40179.3	21255.3	43500	Go to Delete
24827319	DPMpl12	38653.6	20390.8	44600	Go to Delete
24827320	DPMpm1	41359.2	22108.4	39350	Go to Delete
24827321	DPMpm2	38761.9	21483.3	44300	Go to Delete
24827322	TRdl ant	30474.1	66179.9	38400	Go to Delete
24827323	TRdl post	30590	65774.2	40000	Go to Delete
